id,name,intervals,partner,retrograde_of,degenerate,reduces_to,berliner,row_forms,palindromic,literal_span_semitones,bounded_span_semitones
6-26,m2-m2-P5-m6-P4-m6,"1 1 7 8 5 8",6-26I,6-30I,false,,6-20,24,false,60,11
6-26I,M3-P5-M3-M7-M7-P4,"4 7 4 11 11 5",6-26,6-30,false,,6-20,24,false,84,11
6-27,m2-m2-P5-m6-M7-M2,"1 1 7 8 11 2",6-27I,6-13I,false,,6-11,24,false,60,11
6-27I,m2-m7-M7-M7-P4-M3,"1 10 11 11 5 4",6-27,6-13,false,,6-11,24,false,84,11
6-28,m2-m2-m6-m2-M3-m3,"1 1 8 1 4 3",6-28I,6-14I,false,,6-12,24,false,36,11
6-28I,M3-M7-m6-M6-M7-M7,"4 11 8 9 11 11",6-28,6-14,false,,6-12,24,false,108,11
6-29,m2-m2-m6-m2-m7-M6,"1 1 8 1 10 9",6-29I,6-38I,false,,6-21,24,false,60,11
6-29I,M2-m3-M7-M7-M3-M7,"2 3 11 11 4 11",6-29,6-38,false,,6-21,24,false,84,11
6-30,m2-m2-m6-P4-m6-P5,"1 1 8 5 8 7",6-30I,6-26I,false,,6-20,24,false,60,11
6-30I,M3-P4-M7-M7-M3-P5,"4 5 11 11 4 7",6-30,6-26,false,,6-20,24,false,84,11
6-31,m2-m2-m6-P5-M3-M6,"1 1 8 7 4 9",6-31I,6-35I,false,,6-22,24,false,60,11
6-31I,m3-M7-M7-M3-P4-m6,"3 11 11 4 5 8",6-31,6-35,false,,6-22,24,false,84,11
6-32,m2-m2-m6-P5-m7-m3,"1 1 8 7 10 3",6-32I,6-19I,false,,6-15,24,false,60,11
6-32I,M2-M6-M7-M7-M3-P4,"2 9 11 11 4 5",6-32,6-19,false,,6-15,24,false,84,11
6-33,m2-m2-m6-M7-M2-P5,"1 1 8 11 2 7",6-33I,6-24I,false,,6-18,24,false,60,11
6-33I,m2-m7-P4-M7-M7-M3,"1 10 5 11 11 4",6-33,6-24,false,,6-18,24,false,84,11
6-34,m2-m2-M6-M3-m2-M2,"1 1 9 4 1 2",6-34I,6-8I,false,,6-6,24,false,36,11
6-34I,m3-m6-M7-m7-M7-M7,"3 8 11 10 11 11",6-34,6-8,false,,6-6,24,false,108,11
6-35,m2-m2-M6-M3-P5-m6,"1 1 9 4 7 8",6-35I,6-31I,false,,6-22,24,false,60,11
6-35I,m3-m6-P4-M3-M7-M7,"3 8 5 4 11 11",6-35,6-31,false,,6-22,24,false,84,11
6-36,m2-m2-M6-P4-P4-M6,"1 1 9 5 5 9",6-36I,6-36I,false,,6-23,12,true,60,11
